Property_Name,Unit_Number,Damages
Fairfax,7030,180.66
Fairfax,7031,314.73
Fairfax,7032,296.81
Fairfax,7033,212.35
Fairfax,7034,36.16
Fairfax,7035,410.54
Fairfax,7036,213.57
Fairfax,7037,360.55
Fairfax,7038,225.09
Fairfax,7039,222.79
Fairfax,7040,137.21
Fairfax,7041,635.58
Fairfax,7042,728.36
Fairfax,7043,555.3
Fairfax,7044,486.41
Fairfax,7045,263.4
Fairfax,7046,607.37
Fairfax,7047,259.47
Fairfax,7048,396.91
Fairfax,7049,523.11
Fairfax,7050,495.58
Fairfax,7051,223.9
Fairfax,7052,312.46
Fairfax,7053,272.7
Fairfax,7054,187.12
Fairfax,7055,703.09
Fairfax,7056,395.24
Fairfax,7057,429.68
Fairfax,7058,469.74
Fairfax,7059,320.58
Fairfax,7060,300.45
Fairfax,7061,107.14
Fairfax,7062,404.76
Fairfax,7063,374.21
Fairfax,7064,638.09
Fairfax,7065,253.89000000000001
Fairfax,7066,354.78000000000003
Fairfax,7067,450.13
Fairfax,7068,209.71
Fairfax,7069,550.74
Fairfax,7070,391.73
Fairfax,7071,166.9
Fairfax,7072,442.64
Fairfax,7073,251.96
Fairfax,7074,407.03000000000003
Fairfax,7075,281.85
Fairfax,7076,318.14
Fairfax,7077,231.2
Fairfax,7078,174.88
Fairfax,7079,420.32
Fairfax,7080,278.76
Fairfax,7081,764.0799999999999
Fairfax,7082,470.51
Fairfax,7083,663.2
Fairfax,7084,344.53
Fairfax,7085,96.47
Fairfax,7086,696.99
Fairfax,7087,344.08
Fairfax,7088,111.29
Fairfax,7089,140.55
Fairfax,7090,175.35
Fairfax,7091,335.11
Fairfax,7092,287.8
Fairfax,7093,598.35
Fairfax,7094,203.15
Fairfax,7095,426.55
Fairfax,7097,227.4
Fairfax,7098,355.84
Fairfax,7099,214.57999999999998
Fairfax,7100,309.33
Fairfax,7101,834.8100000000001
Fairfax,7102,188.28
Fairfax,7103,315.15
Fairfax,7104,199.88
Fairfax,7105,570.25
Fairfax,7106,320.81
Fairfax,7107,755.09
Fairfax,7108,224.38
Fairfax,7109,565.66
Fairfax,7110,235.72
Fairfax,7111,716.42
Fairfax,7112,285.35
Fairfax,7113,369.96
Fairfax,7114,330.73
Fairfax,7115,904.23
Fairfax,7116,294.9
Fairfax,7117,490.88
Fairfax,7118,375.54
Fairfax,7119,43.62
Fairfax,7120,273.69
Fairfax,7121,279.51
Fairfax,7122,507.99
Fairfax,7123,261.45
Fairfax,7124,241.97
Fairfax,7125,0.0
Fairfax,7126,162.41
Fairfax,7127,315.52
Fairfax,7128,194.53
Fairfax,7129,582.87
Fairfax,7130,94.05
Fairfax,7131,32.62
Fairfax,7132,405.95
Fairfax,7133,163.28
Fairfax,7134,424.26
Fairfax,7135,606.78
Fairfax,7136,500.96
Fairfax,7137,218.7
Fairfax,7138,325.24
Fairfax,7139,580.48
Fairfax,7140,479.82
Fairfax,7141,527.86
Fairfax,7142,397.58
Fairfax,7143,767.04
Fairfax,7144,204.16
Fairfax,7145,35.65
Fairfax,7146,170.71
Fairfax,7147,415.1
Fairfax,7148,251.44
Fairfax,7149,1395.47
Fairfax,7150,369.99
Fairfax,7151,465.89
Fairfax,7152,115.45
Fairfax,7153,189.67
Fairfax,7154,303.99
Fairfax,7155,245.76999999999998
Fairfax,7156,230.29
Fairfax,7157,259.91
Fairfax,7158,673.73
Fairfax,7159,270.79
Fairfax,7160,233.76
Fairfax,7161,198.29
Fairfax,7162,522.1
Fairfax,7163,509.32
Fairfax,7164,769.78
Fairfax,7165,407.98
Fairfax,7166,637.67
Fairfax,7167,355.9
Fairfax,7168,516.85
Fairfax,7169,604.91
Fairfax,7170,172.12
Fairfax,7171,528.26
Fairfax,7172,888.59
Fairfax,7173,167.78
Fairfax,7174,236.65
Fairfax,7175,697.9399999999999
Fairfax,7176,332.96
Fairfax,7177,205.44
Fairfax,7178,155.29
Fairfax,7179,392.76
Fairfax,7180,532.9
Fairfax,7181,173.44
Fairfax,7182,826.26
Fairfax,7183,346.9
Fairfax,7184,369.63
Fairfax,7185,471.02
Fairfax,7186,300.69
Fairfax,7187,478.57
Fairfax,7188,705.69
Fairfax,7189,319.03
Fairfax,7190,342.12
Fairfax,7191,339.46999999999997
Fairfax,7192,170.59
Fairfax,7193,506.68
Fairfax,7194,378.6
Fairfax,7195,436.84000000000003
Fairfax,7196,577.72
Fairfax,7197,444.23
Fairfax,7198,122.32000000000001
Fairfax,7199,262.18
Fairfax,7200,465.76
Fairfax,7201,213.05
Fairfax,7202,288.63
Fairfax,7203,384.32
Fairfax,7204,290.44
Fairfax,7205,300.17
Fairfax,7206,191.01
Fairfax,7207,169.01
Fairfax,7208,320.01
Fairfax,7209,176.74
Fairfax,7210,136.52
Fairfax,7211,317.32
Fairfax,7212,354.68
Fairfax,7213,353.96
Fairfax,7214,337.06
Fairfax,7215,523.5
Fairfax,7216,325.24
Fairfax,7217,808.22
Fairfax,7218,245.91
Fairfax,7219,221.12
Fairfax,7220,393.15
Fairfax,7221,456.95
Fairfax,7222,470.99
Fairfax,7223,265.13
Fairfax,7224,213.42000000000002
Fairfax,7225,265.68
Fairfax,7226,232.2
Fairfax,7227,1049.0
Fairfax,7228,519.02
Fairfax,7229,164.95
Fairfax,7230,298.5
Fairfax,7231,223.15
Fairfax,7232,207.55
Fairfax,7233,654.69
Fairfax,7234,280.3
Fairfax,7235,488.33
Fairfax,7236,225.55
Fairfax,7237,242.03
Fairfax,7239,674.95
Fairfax,7240,539.4
Fairfax,7241,402.65
Fairfax,7242,450.84000000000003
Fairfax,7243,145.85
Fairfax,7244,132.32
Fairfax,7245,472.49
Fairfax,7246,813.8
Fairfax,7247,222.9
Fairfax,7248,330.09
Fairfax,7250,320.36
Fairfax,7251,568.86
Fairfax,7252,326.96
Fairfax,7253,388.62
Fairfax,7254,556.38
Fairfax,7255,557.12
Fairfax,7256,486.82
Fairfax,7257,130.73
Fairfax,7258,209.59
Fairfax,7259,49.53
Fairfax,7260,461.07
Fairfax,7261,319.99
Fairfax,7262,369.17
Fairfax,7263,347.28
Fairfax,7264,750.17
Fairfax,7265,295.39
Fairfax,7266,0.0
